Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32,count_matches,count_diff,count
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
5,other vegetables,uht-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
1,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,,True,0,9
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
3,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
2,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,True,0,11
2,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
4,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
6,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
4,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
7,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,7
5,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,5
8,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
3,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
4,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,4
3,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,3
6,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,6
13,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,,True,0,13
2,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,2
8,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,True,0,8
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,1
